src:START_ID	dst:END_ID	type:TYPE	verb
130	132	REL	`decrease`
133	131	REL	`decrease`
133	132	REL	`decrease`
125	1	REL	`associated`
125	0	REL	`associated`
52	1	REL	`associated`
52	0	REL	`associated`
125	120	REL	`Are Associated`
1	120	REL	`was found`
1	45	REL	`was found`
1	122	REL	`increased`
125	122	REL	`increased`
134	1	REL	`have found`
45	135	REL	`have decreased`
1	136	REL	`expressed; are released`
125	137	REL	`were associated`
125	45	REL	`were associated`
1	137	REL	`were associated`
1	45	REL	`were associated`
125	130	REL	`found to be`
1	122	REL	`is increased`
1	45	REL	`is increased`
1	138	REL	`enhances`
1	139	REL	`expressed`
1	140	REL	`expressed`
127	139	REL	`expressed`
127	140	REL	`expressed`
0	1	REL	`express`
1	1	REL	`were expressed`
1	36	REL	`were expressed`
141	1	REL	`were expressed`
141	36	REL	`were expressed`
141	142	REL	`was expressed`
141	1	REL	`was expressed`
141	36	REL	`was expressed`
141	143	REL	`decreased`
141	1	REL	`decreased`
141	36	REL	`decreased`
144	143	REL	`decreased`
144	1	REL	`decreased`
144	36	REL	`decreased`
141	1	REL	`was not affected`
141	145	REL	`decreased`
141	146	REL	`decreased`
141	130	REL	`decreased`
147	1	REL	`be found`
148	1	REL	`be found`
149	1	REL	`be found`
150	1	REL	`be found`
151	1	REL	`be found`
147	1	REL	`was found`
152	1	REL	`increased`
152	153	REL	`increased`
154	1	REL	`increased`
154	153	REL	`increased`
36	147	REL	`produced`
155	147	REL	`produced`
1	147	REL	`produced`
156	1	REL	`were decreased`
157	1	REL	`were increased`
157	36	REL	`were increased`
157	158	REL	`were increased`
159	1	REL	`is enhanced`
160	161	REL	`would be enhanced; reduce`
162	161	REL	`would be enhanced; reduce`
163	164	REL	`yielded decreased`
1	164	REL	`yielded decreased`
165	36	REL	`decreased`
166	1	REL	`increased`
167	130	REL	`would be induced`
167	168	REL	`would be induced`
169	130	REL	`would be induced`
169	168	REL	`would be induced`
1	130	REL	`would be induced`
1	168	REL	`would be induced`
170	1	REL	`were found`
170	36	REL	`were found`
171	1	REL	`were found`
171	36	REL	`were found`
172	36	REL	`increased`
172	1	REL	`increased`
1	173	REL	`caused`
174	173	REL	`caused`
175	173	REL	`caused`
1	156	REL	`might cause`
1	141	REL	`may not affect`
168	141	REL	`might be caused`
168	1	REL	`might be caused`
1	176	REL	`is associated`
1	177	REL	`is associated`
1	178	REL	`is associated`
1	45	REL	`is associated`
1	175	REL	`is associated`
1	1	REL	`is associated`
1	36	REL	`is associated`
161	1	REL	`activated`
179	1	REL	`activated`
159	1	REL	`activated`
180	181	REL	`containing`
36	66	REL	`containing`
141	66	REL	`containing`
1	130	REL	`regulates`
1	168	REL	`regulates`
182	182	REL	`contains`
183	182	REL	`were found to be`
183	184	REL	`were found to be`
156	182	REL	`were found to be`
156	184	REL	`were found to be`
185	182	REL	`were found to be`
185	184	REL	`were found to be`
186	187	REL	`found`
159	188	REL	`could increase`
188	189	REL	`have been produced`
190	190	REL	`to enhance`
191	190	REL	`to enhance`
182	190	REL	`to enhance`
192	190	REL	`to enhance`
193	194	REL	`to induce`
195	194	REL	`to induce`
194	196	REL	`increased`
194	197	REL	`increased; decreased`
198	199	REL	`have been detected`
185	200	REL	`can be released`
156	200	REL	`can be released`
201	202	REL	`were released`
156	202	REL	`were released`
203	199	REL	`detected`
204	199	REL	`detected`
205	206	REL	`containing`
205	207	REL	`containing`
208	209	REL	`expressed`
210	209	REL	`expressed`
156	156	REL	`were not detected`
211	159	REL	`containing`
212	156	REL	`were detected`
26	0	REL	`should be paid increasing; are found`
26	45	REL	`should be paid increasing; are found`
26	44	REL	`should be paid increasing; are found`
26	25	REL	`should be paid increasing; are found`
0	45	REL	`should be paid increasing; are found`
0	44	REL	`should be paid increasing; are found`
0	25	REL	`should be paid increasing; are found`
45	0	REL	`should be paid increasing; are found`
45	44	REL	`should be paid increasing; are found`
45	25	REL	`should be paid increasing; are found`
45	1	REL	`tend to be found increasing`
50	79	REL	`has been found; regulate; including`
50	52	REL	`has been found; regulate; including`
50	54	REL	`has been found; regulate; including`
50	213	REL	`has been found; regulate; including`
55	79	REL	`has been found; regulate; including`
55	52	REL	`has been found; regulate; including`
55	54	REL	`has been found; regulate; including`
55	213	REL	`has been found; regulate; including`
72	56	REL	`repaired; regulating; enhancing`
72	57	REL	`repaired; regulating; enhancing`
50	56	REL	`repaired; regulating; enhancing`
50	57	REL	`repaired; regulating; enhancing`
36	214	REL	`do not develop; is induced; activating`
141	214	REL	`do not develop; is induced; activating`
215	214	REL	`do not develop; is induced; activating`
0	1	REL	`were analyzed; found; reduced`
18	107	REL	`had demonstrated; revealing; affects`
18	119	REL	`had demonstrated; revealing; affects`
0	0	REL	`used to detect`
107	1	REL	`tend to have upregulated`
45	1	REL	`tend to have upregulated`
45	216	REL	`may cause; raising`
84	216	REL	`may cause; raising`
217	83	REL	`based; reduces`
26	45	REL	`related; expressed`
26	0	REL	`related; expressed`
165	1	REL	`decreased; fed`
1	17	REL	`was found to stain`
218	0	REL	`associated; including`
219	0	REL	`associated; including`
220	0	REL	`is associated; including`
1	43	REL	`affect; including`
1	107	REL	`expressed; including`
1	106	REL	`expressed; including`
1	221	REL	`expressed; including`
1	222	REL	`expressed; including`
55	52	REL	`increased; promoted`
50	223	REL	`can enhance; promoting`
72	223	REL	`can enhance; promoting`
50	56	REL	`yielded; inducing`
62	56	REL	`yielded; inducing`
50	57	REL	`resulted; regulating`
50	56	REL	`resulted; regulating`
68	57	REL	`resulted; regulating`
68	56	REL	`resulted; regulating`
62	57	REL	`resulted; regulating`
62	56	REL	`resulted; regulating`
55	89	REL	`can modulate; increasing`
55	92	REL	`can modulate; increasing`
55	80	REL	`can modulate; increasing`
50	89	REL	`can modulate; increasing`
50	92	REL	`can modulate; increasing`
50	80	REL	`can modulate; increasing`
52	224	REL	`caused; to degrade`
52	225	REL	`caused; to degrade`
54	224	REL	`caused; to degrade`
54	225	REL	`caused; to degrade`
1	111	REL	`may play; affecting`
1	113	REL	`may play; affecting`
107	45	REL	`had; was found`
107	104	REL	`had; was found`
1	226	REL	`leads; decreases`
1	122	REL	`was found to promote`
155	147	REL	`were tested; to produce`
152	147	REL	`were tested; to produce`
130	147	REL	`were tested; to produce`
168	147	REL	`were tested; to produce`
1	147	REL	`were tested; to produce`
36	147	REL	`were tested; to produce`
227	228	REL	`was activated to dispose`
1	229	REL	`might cause; including`
1	230	REL	`might cause; including`
231	66	REL	`incubated; containing`
231	232	REL	`incubated; containing`
233	234	REL	`contain; leading`
235	45	REL	`results; produced`
236	156	REL	`increased; resulting`
236	237	REL	`increased; resulting`
236	238	REL	`increased; resulting`
239	240	REL	`is rising; affected`
